date,favored_team,underdog_team,spread
2020-07-30,Los Angeles Lakers,LA Clippers,4.0
2020-07-31,Sacramento Kings,San Antonio Spurs,3.5
2020-07-31,Dallas Mavericks,Houston Rockets,1.0
2020-08-01,Los Angeles Lakers,Toronto Raptors,2.5
2020-08-02,Milwaukee Bucks,Houston Rockets,5.0
2020-08-02,Dallas Mavericks,Phoenix Suns,6.0
2020-08-03,Philadelphia 76ers,San Antonio Spurs,7.0
2020-08-03,Los Angeles Lakers,Utah Jazz,6.0
2020-08-04,Houston Rockets,Portland Trail Blazers,3.0
2020-08-05,Toronto Raptors,Orlando Magic,7.5
2020-08-05,Boston Celtics,Brooklyn Nets,8.5
2020-08-06,Portland Trail Blazers,Denver Nuggets,4.5
2020-08-06,Houston Rockets,Los Angeles Lakers,3.5
2020-08-07,Toronto Raptors,Boston Celtics,1.5
2020-08-07,New Orleans Pelicans,Washington Wizards,8.5
2020-08-08,Phoenix Suns,Miami Heat,4.0
2020-08-08,Milwaukee Bucks,Dallas Mavericks,6.0
2020-08-09,Houston Rockets,Sacramento Kings,4.5
2020-08-09,LA Clippers,Brooklyn Nets,10.0
2020-08-10,Los Angeles Lakers,Denver Nuggets,5.0
2020-08-10,Miami Heat,Indiana Pacers,3.5
2020-08-11,Sacramento Kings,New Orleans Pelicans,3.0
2020-08-11,Milwaukee Bucks,Washington Wizards,8.5
2020-08-12,Miami Heat,Oklahoma City Thunder,4.0
2020-08-12,LA Clippers,Denver Nuggets,5.5
2020-08-13,Portland Trail Blazers,Brooklyn Nets,10.5
2020-08-13,Orlando Magic,New Orleans Pelicans,4.0
2020-08-14,Houston Rockets,Philadelphia 76ers,3.5
2020-08-17,LA Clippers,Dallas Mavericks,6.5
2020-08-18,Los Angeles Lakers,Portland Trail Blazers,6.5
2020-08-19,LA Clippers,Dallas Mavericks,5.5
2020-08-20,Los Angeles Lakers,Portland Trail Blazers,6.5
2020-08-21,LA Clippers,Dallas Mavericks,5.0
2020-08-22,Los Angeles Lakers,Portland Trail Blazers,8.0
2020-08-23,Utah Jazz,Denver Nuggets,3.5
2020-08-24,Los Angeles Lakers,Portland Trail Blazers,7.5
2020-08-25,LA Clippers,Dallas Mavericks,8.0
2020-08-27,Toronto Raptors,Boston Celtics,2.0
